,id,job_title,location,connection,fit,job_title_cleaned
0,1,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,2019 ct bauer colleg busi graduat magna cum laud aspir human resourc profession
1,2,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,nativ english teacher epik english program korea
2,3,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,aspir human resourc profession
3,4,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,peopl develop coordin ryan
4,5,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,,advisori board member celal bayar univer
5,6,Aspiring Human Resources Specialist,Greater New York City Area,1,,aspir human resourc specialist
6,7,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,student humber colleg aspir human resourc generalist
7,8,HR Senior Specialist,San Francisco Bay Area,500+ ,,human resourc senior specialist
8,9,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,student humber colleg aspir human resourc generalist
9,10,Seeking Human Resources HRIS and Generalist Positions,Greater Philadelphia Area,500+ ,,seek human resourc human resourc inform system generalist posit
10,11,Student at Chapman University,"Lake Forest, California",2,,student chapman univer
11,12,"SVP, CHRO, Marketing & Communications, CSR Officer | ENGIE | Houston | The Woodlands | Energy | GPHR | SPHR","Houston, Texas Area",500+ ,,senior vice presid chief human resourc offic market commun corpor social respon offic engi houston woodland energi global profession human resourc senior profession human resourc
12,13,Human Resources Coordinator at InterContinental Buckhead Atlanta,"Atlanta, Georgia",500+ ,,human resourc coordin intercontinent buckhead atlanta
13,14,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,2019 ct bauer colleg busi graduat magna cum laud aspir human resourc profession
14,15,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,2019 ct bauer colleg busi graduat magna cum laud aspir human resourc profession
15,16,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,nativ english teacher epik english program korea
16,17,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,aspir human resourc profession
17,18,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,peopl develop coordin ryan
18,19,2019 C.T. Bauer College of Business Graduate (Magna Cum Laude) and aspiring Human Resources professional,"Houston, Texas",85,,2019 ct bauer colleg busi graduat magna cum laud aspir human resourc profession
19,20,Native English Teacher at EPIK (English Program in Korea),Kanada,500+ ,,nativ english teacher epik english program korea
20,21,Aspiring Human Resources Professional,"Raleigh-Durham, North Carolina Area",44,,aspir human resourc profession
21,22,People Development Coordinator at Ryan,"Denton, Texas",500+ ,,peopl develop coordin ryan
22,23,Advisory Board Member at Celal Bayar University,"İzmir, Türkiye",500+ ,,advisori board member celal bayar univer
23,24,Aspiring Human Resources Specialist,Greater New York City Area,1,,aspir human resourc specialist
24,25,Student at Humber College and Aspiring Human Resources Generalist,Kanada,61,,student humber colleg aspir human resourc generalist
25,26,HR Senior Specialist,San Francisco Bay Area,500+ ,,human resourc senior specialist
26,27,Aspiring Human Resources Management student seeking an internship,"Houston, Texas Area",500+ ,,aspir human resourc manag student seek internship
27,28,Seeking Human Resources Opportunities,"Chicago, Illinois",390,,seek human resourc opportun
28,29,Aspiring Human Resources Management student seeking an internship,"Houston, Texas Area",500+ ,,aspir human resourc manag student seek internship
29,30,Seeking Human Resources Opportunities,"Chicago, Illinois",390,,seek human resourc opportun
